Classificação,Código do acervo,Código do exemplar,Título,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
001.42,116167,14168360,Fundamentos de metodologia científica - 7. ed. / 2010,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,116167,14168399,Fundamentos de metodologia científica - 7. ed. / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
001.42,116167,14168365,Fundamentos de metodologia científica - 7. ed. / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,116167,14168366,Fundamentos de metodologia científica - 7. ed. / 2010,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,116167,14168374,Fundamentos de metodologia científica - 7. ed. / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001.42,116167,14168385,Fundamentos de metodologia científica - 7. ed. / 2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,116167,14168391,Fundamentos de metodologia científica - 7. ed. / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
001.42,116167,14168390,Fundamentos de metodologia científica - 7. ed. / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,116167,14168398,Fundamentos de metodologia científica - 7. ed. / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
001.42,132281,14168899,Guia para elaboração de monografias e trabalhos de conclusão de curso - 2. ed. / 2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,132281,14168900,Guia para elaboração de monografias e trabalhos de conclusão de curso - 2. ed. / 2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,132281,14168902,Guia para elaboração de monografias e trabalhos de conclusão de curso - 2. ed. / 2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
001.42,149688,14148860,Aprendendo a aprender : introdução à metodologia científica - 28. ed. / 2014,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,149688,14148849,Aprendendo a aprender : introdução à metodologia científica - 28. ed. / 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
001.42,149688,14148875,Aprendendo a aprender : introdução à metodologia científica - 28. ed. / 2014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,149688,14148850,Aprendendo a aprender : introdução à metodologia científica - 28. ed. / 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
001.42,149688,14148867,Aprendendo a aprender : introdução à metodologia científica - 28. ed. / 2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,149688,14148876,Aprendendo a aprender : introdução à metodologia científica - 28. ed. / 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,151471,14158522,Trabalho de conclusão de curso (TCC) na engenharia de produção : um guia prático de conteúdo e forma / 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
001.42,151471,14158524,Trabalho de conclusão de curso (TCC) na engenharia de produção : um guia prático de conteúdo e forma / 2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,151471,14158523,Trabalho de conclusão de curso (TCC) na engenharia de produção : um guia prático de conteúdo e forma / 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,154797,14171428,Trabalho de conclusão de curso (TCC) : guia de elaboração passo a passo / 2010,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,154797,14171459,Trabalho de conclusão de curso (TCC) : guia de elaboração passo a passo / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,154797,14171443,Trabalho de conclusão de curso (TCC) : guia de elaboração passo a passo / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,154797,14171445,Trabalho de conclusão de curso (TCC) : guia de elaboração passo a passo / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,154797,14171456,Trabalho de conclusão de curso (TCC) : guia de elaboração passo a passo / 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001.42,158749,14372564,"Construindo o saber : metodologia científica, fundamentos e técnicas - 24. ed. / 2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,128965,14158980,Programação linear como instrumento da pesquisa operacional / 2008,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11924,14168223,Introdução a ciência da computação / 1984,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,11924,14168212,Introdução a ciência da computação / 1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,128536,14154862,Introdução à teoria da computação / 2007,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
4,128536,14154872,Introdução à teoria da computação / 2007,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1
4,128536,14154875,Introdução à teoria da computação / 2007,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,128536,14342011,Introdução à teoria da computação / 2007,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,2,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
